frame,action
833,unknown,neutral
834,unknown,neutral
835,unknown,neutral
836,unknown,neutral
837,unknown,neutral
838,unknown,neutral
839,unknown,neutral
840,unknown,neutral
841,unknown,neutral
842,unknown,happy
843,unknown,happy
844,unknown,happy
845,unknown,happy
846,unknown,happy
847,unknown,happy
848,unknown,happy
849,unknown,happy
850,unknown,happy
851,unknown,happy
852,unknown,happy
853,unknown,happy
854,unknown,happy
855,unknown,happy
856,unknown,happy
857,unknown,happy
858,unknown,happy
859,unknown,happy
860,unknown,happy
861,unknown,happy
862,unknown,happy
863,unknown,happy
864,unknown,happy
865,unknown,happy
866,unknown,happy
867,unknown,happy
868,unknown,happy
869,unknown,happy
870,unknown,happy
871,unknown,happy
872,unknown,happy
873,unknown,happy
874,unknown,happy
875,unknown,happy
876,unknown,happy
877,unknown,happy
878,unknown,happy
879,unknown,happy
880,unknown,happy
881,unknown,happy
882,unknown,happy
883,unknown,happy
884,unknown,happy
885,unknown,happy
886,unknown,happy
887,unknown,happy
888,unknown,happy
889,unknown,happy
890,unknown,happy
891,unknown,happy
892,unknown,happy
893,unknown,happy
894,unknown,happy
895,unknown,happy
896,unknown,happy
897,unknown,happy
898,unknown,happy
899,unknown,happy
900,unknown,happy
901,unknown,happy
902,hands_on_face,happy
903,hands_on_face,happy
904,hands_on_face,happy
905,hands_on_face,surprise
906,hands_on_face,surprise
907,hands_on_face,surprise
908,hands_on_face,surprise
909,hands_on_face,surprise
910,hands_on_face,surprise
911,hands_on_face,surprise
912,hands_on_face,surprise
913,hands_on_face,surprise
914,hands_on_face,surprise
915,hands_on_face,surprise
916,hands_on_face,surprise
917,hands_on_face,surprise
918,hands_on_face,surprise
919,hands_on_face,surprise
920,hands_on_face,surprise
921,hands_on_face,surprise
922,hands_on_face,surprise
923,hands_on_face,surprise
924,hands_on_face,surprise
925,hands_on_face,surprise
926,hands_on_face,surprise
927,hands_on_face,surprise
928,hands_on_face,surprise
929,hands_on_face,surprise
930,hands_on_face,surprise
931,hands_on_face,surprise
932,hands_on_face,surprise
933,hands_on_face,surprise
934,hands_on_face,surprise
935,hands_on_face,surprise
936,hands_on_face,surprise
937,hands_on_face,surprise
938,hands_on_face,surprise
939,hands_on_face,surprise
940,hands_on_face,surprise
941,hands_on_face,surprise
942,hands_on_face,surprise
943,hands_on_face,surprise
944,hands_on_face,surprise
945,hands_on_face,surprise
946,hands_on_face,surprise
947,hands_on_face,surprise
948,hands_on_face,surprise
949,hands_on_face,surprise
950,hands_on_face,surprise
951,hands_on_face,surprise
952,hands_on_face,surprise
953,hands_on_face,surprise
954,hands_on_face,surprise
955,hands_on_face,surprise
956,hands_on_face,surprise
957,hands_on_face,surprise
958,hands_on_face,surprise
959,hands_on_face,surprise
960,hands_on_face,surprise
961,hands_on_face,surprise
962,hands_on_face,surprise
963,hands_on_face,surprise
964,hands_on_face,surprise
965,hands_on_face,surprise
966,hands_on_face,surprise
967,hands_on_face,surprise
968,hands_on_face,surprise
969,hands_on_face,surprise
970,hands_on_face,surprise
971,hands_on_face,surprise
972,hands_on_face,surprise
973,hands_on_face,surprise
974,hands_on_face,surprise
975,hands_on_face,surprise
976,hands_on_face,surprise
977,hands_on_face,surprise
978,hands_on_face,surprise
979,hands_on_face,surprise
980,hands_on_face,surprise
981,hands_on_face,surprise
982,hands_on_face,surprise
983,hands_on_face,happy
984,hands_on_face,happy
985,hands_on_face,happy
986,hands_on_face,surprise
987,hands_on_face,happy
988,hands_on_face,surprise
989,hands_on_face,neutral
990,hands_on_face,surprise
991,hands_on_face,surprise
992,hands_on_face,surprise
993,hands_on_face,surprise
994,hands_on_face,surprise
995,hands_on_face,surprise
996,hands_on_face,surprise
997,hands_on_face,surprise
998,hands_on_face,surprise
999,hands_on_face,surprise
1000,hands_on_face,surprise
1001,hands_on_face,surprise
1002,hands_on_face,surprise
1003,hands_on_face,surprise
1004,hands_on_face,surprise
1005,hands_on_face,surprise
1006,hands_on_face,surprise
1007,hands_on_face,surprise
1008,hands_on_face,surprise
1009,hands_on_face,surprise
1010,hands_on_face,surprise
1011,hands_on_face,surprise
1012,hands_on_face,surprise
1013,hands_on_face,fear
1014,hands_on_face,fear
1015,hands_on_face,fear
1016,hands_on_face,fear
1017,hands_on_face,fear
1018,hands_on_face,fear
1019,hands_on_face,surprise
1020,hands_on_face,surprise
1021,hands_on_face,surprise
1022,hands_on_face,surprise
1023,hands_on_face,surprise
1024,hands_on_face,surprise
1025,hands_on_face,surprise
1026,hands_on_face,surprise
1027,hands_on_face,surprise
1028,hands_on_face,surprise
1029,hands_on_face,surprise
1030,hands_on_face,surprise
1031,hands_on_face,surprise
1032,hands_on_face,surprise
1033,hands_on_face,surprise
1034,hands_on_face,surprise
1035,hands_on_face,surprise
1036,hands_on_face,surprise
1037,hands_on_face,surprise
1038,hands_on_face,surprise
1039,hands_on_face,surprise
1040,hands_on_face,surprise
1041,hands_on_face,surprise
1042,hands_on_face,surprise
1043,hands_on_face,surprise
1044,hands_on_face,surprise
1045,hands_on_face,surprise
1046,hands_on_face,surprise
1047,hands_on_face,surprise
1048,hands_on_face,surprise
1049,hands_on_face,surprise
1050,hands_on_face,surprise
1051,hands_on_face,surprise
1052,hands_on_face,surprise
1053,hands_on_face,surprise
1054,hands_on_face,surprise
1055,hands_on_face,surprise
1056,hands_on_face,surprise
1057,hands_on_face,surprise
1058,hands_on_face,surprise
1059,hands_on_face,surprise
1060,hands_on_face,surprise
1061,hands_on_face,surprise
1062,hands_on_face,surprise
1063,hands_on_face,surprise
1064,hands_on_face,surprise
1065,hands_on_face,surprise
1066,hands_on_face,surprise
1067,hands_on_face,surprise
1068,hands_on_face,surprise
1069,hands_on_face,surprise
1070,hands_on_face,surprise
1071,hands_on_face,surprise
1072,hands_on_face,surprise
1073,hands_on_face,surprise
1074,hands_on_face,surprise
1075,hands_on_face,surprise
1076,hands_on_face,surprise
1077,hands_on_face,surprise
1078,hands_on_face,surprise
1079,hands_on_face,surprise
1080,resting,
1081,resting,surprise
1082,resting,surprise
1083,resting,surprise
1084,unknown,surprise
1085,resting,surprise
1086,resting,neutral
1087,resting,neutral
1088,resting,neutral
1089,resting,neutral
1090,resting,neutral
1091,resting,happy
1092,resting,neutral
1093,resting,neutral
1094,resting,neutral
1095,resting,neutral
1096,resting,happy
1097,resting,neutral
1098,resting,neutral
1099,resting,neutral
1100,resting,neutral
1101,resting,neutral
1102,resting,neutral
1103,resting,neutral
1104,resting,neutral
1105,resting,neutral
1106,resting,neutral
1107,resting,neutral
1108,resting,neutral
1109,resting,neutral
1110,resting,neutral
1111,resting,neutral
1112,resting,neutral
1113,resting,neutral
1114,resting,neutral
1115,resting,neutral
1116,resting,neutral
1117,resting,neutral
1118,resting,neutral
1119,resting,neutral
1120,resting,neutral
1121,resting,neutral
1122,resting,neutral
1123,resting,neutral
1124,resting,neutral
1125,resting,neutral
1126,resting,neutral
1127,resting,neutral
1128,resting,neutral
1129,resting,neutral
1130,resting,neutral
1131,resting,neutral
1132,resting,neutral
1133,resting,neutral
1134,resting,neutral
1135,resting,neutral
1136,resting,neutral
1137,resting,neutral
1138,resting,neutral
1139,resting,neutral
1140,resting,happy
1141,resting,happy
1142,resting,happy
1143,resting,happy
1144,resting,happy
1145,resting,happy
1146,resting,happy
1147,resting,happy
1148,resting,happy
1149,resting,happy
1150,resting,neutral
1151,resting,neutral
1152,resting,neutral
1153,resting,neutral
1154,resting,neutral
1155,resting,neutral
1156,resting,neutral
1157,resting,neutral
1158,resting,neutral
1159,resting,neutral
1160,resting,neutral
1161,resting,neutral
1162,resting,neutral
1163,resting,neutral
1164,resting,neutral
1165,resting,neutral
1166,resting,neutral
1167,resting,neutral
1168,resting,sad
1169,resting,sad
1170,resting,neutral
1171,resting,sad
1172,resting,sad
1173,resting,neutral
1174,resting,neutral
1175,resting,neutral
1176,resting,neutral
1177,resting,neutral
1178,resting,neutral
1179,resting,neutral
1180,resting,sad
1181,resting,neutral
1182,resting,sad
1183,resting,sad
1184,resting,sad
1185,resting,sad
1186,resting,sad
1187,resting,sad
1188,resting,neutral
1189,resting,neutral
1190,resting,neutral
1191,resting,neutral
1192,resting,neutral
1193,resting,neutral
1194,resting,neutral
1195,resting,neutral
1196,resting,neutral
1197,resting,neutral
1198,resting,neutral
1199,resting,neutral
1200,resting,neutral
1201,resting,neutral
1202,resting,neutral
1203,resting,neutral
1204,resting,neutral
1205,resting,neutral
1206,resting,neutral
1207,resting,neutral
1208,resting,neutral
1209,resting,neutral
1210,resting,neutral
1211,resting,neutral
1212,resting,neutral
1213,resting,neutral
1214,resting,neutral
1215,resting,neutral
1216,resting,neutral
1217,resting,neutral
1218,resting,fear
1219,resting,fear
1220,resting,fear
1221,resting,fear
1222,resting,fear
1223,resting,fear
1224,resting,fear
1225,resting,fear
1226,resting,fear
1227,resting,fear
1228,resting,sad
1229,resting,sad
1230,resting,sad
1231,resting,sad
1232,resting,sad
1233,resting,sad
1234,resting,sad
1235,resting,sad
1236,resting,sad
1237,resting,sad
1238,resting,sad
1239,resting,sad
1240,resting,sad
1241,resting,sad
1242,resting,fear
1243,resting,fear
1244,resting,fear
1245,resting,fear
1246,resting,fear
1247,resting,fear
1248,resting,fear
1249,resting,fear
1250,resting,fear
1251,resting,fear
1252,resting,fear
1253,resting,fear
1254,resting,fear
1255,resting,fear
1256,resting,fear
1257,resting,fear
1258,resting,fear
1259,resting,fear
1260,resting,
1261,resting,fear
1262,grimacing,fear
1263,grimacing,fear
1264,grimacing,fear
1265,unknown,fear
1266,grimacing,neutral
1267,grimacing,neutral
1268,grimacing,neutral
1269,grimacing,neutral
1270,grimacing,neutral
1271,grimacing,neutral
1272,grimacing,neutral
1273,grimacing,neutral
1274,grimacing,neutral
1275,grimacing,neutral
1276,grimacing,neutral
1277,grimacing,neutral
1278,grimacing,neutral
1279,grimacing,neutral
1280,grimacing,neutral
1281,grimacing,neutral
1282,grimacing,neutral
1283,grimacing,neutral
1284,grimacing,neutral
1285,grimacing,neutral
1286,grimacing,neutral
1287,grimacing,neutral
1288,grimacing,neutral
1289,grimacing,neutral
1290,grimacing,neutral
1291,grimacing,neutral
1292,grimacing,neutral
1293,grimacing,neutral
1294,grimacing,neutral
1295,grimacing,neutral
1296,grimacing,neutral
1297,grimacing,neutral
1298,grimacing,neutral
1299,grimacing,angry
1300,grimacing,angry
1301,grimacing,neutral
1302,grimacing,sad
1303,grimacing,sad
1304,grimacing,sad
1305,grimacing,sad
1306,grimacing,sad
1307,grimacing,sad
1308,grimacing,sad
1309,grimacing,sad
1310,grimacing,sad
1311,grimacing,sad
1312,grimacing,sad
1313,grimacing,sad
1314,grimacing,sad
1315,grimacing,sad
1316,grimacing,sad
1317,grimacing,sad
1318,grimacing,sad
1319,grimacing,sad
1320,grimacing,sad
1321,grimacing,sad
1322,grimacing,sad
1323,grimacing,sad
1324,grimacing,sad
1325,grimacing,sad
1326,grimacing,sad
1327,grimacing,neutral
1328,grimacing,neutral
1329,grimacing,neutral
1330,grimacing,neutral
1331,grimacing,neutral
1332,grimacing,neutral
1333,grimacing,neutral
1334,grimacing,neutral
1335,grimacing,neutral
1336,grimacing,neutral
1337,grimacing,neutral
1338,grimacing,neutral
1339,grimacing,neutral
1340,grimacing,neutral
1341,grimacing,neutral
1342,grimacing,neutral
1343,grimacing,neutral
1344,grimacing,neutral
1345,grimacing,neutral
1346,grimacing,neutral
1347,grimacing,neutral
1348,grimacing,neutral
1349,grimacing,neutral
1350,grimacing,neutral
1351,grimacing,neutral
1352,grimacing,neutral
1353,grimacing,neutral
1354,grimacing,N/A
1355,grimacing,N/A
1356,grimacing,N/A
1357,grimacing,N/A
1358,grimacing,N/A
1359,grimacing,N/A
1360,grimacing,N/A
1361,grimacing,N/A
1362,grimacing,N/A
1363,grimacing,N/A
1364,grimacing,N/A
1365,grimacing,neutral
1366,grimacing,neutral
1367,grimacing,neutral
1368,grimacing,neutral
1369,grimacing,neutral
1370,grimacing,neutral
1371,grimacing,neutral
1372,grimacing,neutral
1373,grimacing,neutral
1374,grimacing,neutral
1375,grimacing,neutral
1376,grimacing,sad
1377,grimacing,sad
1378,grimacing,sad
1379,grimacing,sad
1380,grimacing,sad
1381,grimacing,neutral
1382,grimacing,sad
1383,grimacing,sad
1384,grimacing,sad
1385,grimacing,sad
1386,grimacing,sad
1387,grimacing,sad
1388,grimacing,sad
1389,grimacing,sad
1390,grimacing,sad
1391,grimacing,sad
1392,grimacing,sad
1393,grimacing,sad
1394,grimacing,neutral
1395,grimacing,neutral
1396,grimacing,neutral
1397,grimacing,sad
1398,grimacing,neutral
1399,grimacing,neutral
1400,grimacing,neutral
1401,grimacing,neutral
1402,grimacing,neutral
1403,grimacing,neutral
1404,grimacing,neutral
1405,grimacing,neutral
1406,grimacing,neutral
1407,grimacing,neutral
1408,grimacing,neutral
1409,grimacing,neutral
1410,grimacing,neutral
1411,grimacing,neutral
1412,grimacing,neutral
1413,grimacing,neutral
1414,grimacing,neutral
1415,grimacing,neutral
1416,grimacing,neutral
1417,grimacing,neutral
1418,grimacing,sad
1419,grimacing,sad
1420,grimacing,sad
1421,grimacing,sad
1422,grimacing,neutral
1423,grimacing,neutral
1424,grimacing,neutral
1425,grimacing,neutral
1426,grimacing,neutral
1427,grimacing,neutral
1428,grimacing,neutral
1429,grimacing,neutral
1430,grimacing,neutral
1431,grimacing,neutral
1432,grimacing,neutral
1433,grimacing,neutral
1434,grimacing,neutral
1435,grimacing,neutral
1436,grimacing,neutral
1437,grimacing,neutral
1438,grimacing,neutral
1439,grimacing,neutral
1440,laughing,neutral
1441,laughing,neutral
1442,laughing,neutral
1443,laughing,neutral
1444,laughing,neutral
1445,laughing,neutral
1446,laughing,happy
1447,laughing,happy
1448,laughing,happy
1449,laughing,happy
1450,laughing,happy
1451,laughing,happy
1452,laughing,happy
1453,laughing,happy
1454,laughing,happy
1455,laughing,happy
1456,laughing,happy
1457,laughing,happy
1458,laughing,happy
1459,laughing,happy
1460,laughing,happy
1461,laughing,happy
1462,laughing,happy
1463,laughing,happy
1464,laughing,happy
1465,laughing,happy
1466,laughing,happy
1467,laughing,happy
1468,laughing,happy
1469,laughing,happy
1470,laughing,happy
